"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","fever,headache","null","76,90","B","A","76","common","training","1","true","1","categorize-html","4","152787","0.0-4.0-0.0","76117","20222717","none"
"null","false","headache,rash","null","76,90","A","C","90","rare","training","2","true","1","categorize-html","6","158811","0.0-4.0-2.0","76117","20222717","none"
"2866.5999999046326","false","rash,headache","32","76,90","C","A","90","rare","training","3","true","1","categorize-html","8","162687","0.0-4.0-4.0","76117","20222717","none"
"3274.1999999284744","false","fever,headache","32","76,90","B","A","76","common","training","4","true","1","categorize-html","10","166970","0.0-4.0-6.0","76117","20222717","none"
"2186.399999976158","false","headache,fever","32","76,90","A","B","76","common","training","5","true","1","categorize-html","12","170177","0.0-4.0-8.0","76117","20222717","none"
"1733.2999999523163","false","fever,headache","32","76,90","B","A","76","common","training","6","true","1","categorize-html","14","172928","0.0-4.0-10.0","76117","20222717","none"
"1980.3999999761581","false","headache,fever","32","76,90","A","B","76","common","training","7","true","1","categorize-html","16","175926","0.0-4.0-12.0","76117","20222717","none"
"1021.8999999761581","false","headache,fever","32","76,90","A","B","76","common","training","8","true","1","categorize-html","18","177962","0.0-4.0-14.0","76117","20222717","none"
"1753.1999999284744","false","headache,fever","32","76,90","A","B","76","common","training","9","true","2","categorize-html","21","206951","0.0-4.0-17.0","76117","20222717","none"
"1497.6000000238419","false","fever,headache","32","76,90","B","A","76","common","training","10","true","2","categorize-html","23","209457","0.0-4.0-19.0","76117","20222717","none"
"1918.1999999284744","false","fever,headache","32","76,90","B","A","76","common","training","11","true","2","categorize-html","25","212390","0.0-4.0-21.0","76117","20222717","none"
"2147.600000023842","false","headache,fever","32","76,90","A","B","76","common","training","12","true","2","categorize-html","27","215547","0.0-4.0-23.0","76117","20222717","none"
"2213.5999999046326","false","fever,headache","32","76,90","B","A","76","common","training","13","true","2","categorize-html","29","218777","0.0-4.0-25.0","76117","20222717","none"
"1567.8999999761581","false","headache,fever","32","76,90","A","B","76","common","training","14","true","2","categorize-html","31","221352","0.0-4.0-27.0","76117","20222717","none"
"1933.6000000238419","false","rash,headache","32","76,90","C","A","90","rare","training","15","true","2","categorize-html","33","224309","0.0-4.0-29.0","76117","20222717","none"
"1458.8999999761581","false","headache,rash","32","76,90","A","C","90","rare","training","16","true","2","categorize-html","35","226786","0.0-4.0-31.0","76117","20222717","none"
"7646.700000047684","false","fever","76","76,90","B","","","","test","1","true","","categorize-html","39","335354","0.0-6.0-0.0","76117","20222717","common"
"null","false","headache","null","76,90","A","","","","test","2","true","","categorize-html","41","346881","0.0-6.0-2.0","76117","20222717","none"
"2796.5","false","fever","76","76,90","B","","","","test","3","true","","categorize-html","43","351197","0.0-6.0-4.0","76117","20222717","common"
"2272","false","headache,rash","90","76,90","A","C","","","test","4","true","","categorize-html","45","354988","0.0-6.0-6.0","76117","20222717","rare"
"2557.1999999284744","false","rash,fever","90","76,90","C","B","","","test","5","true","","categorize-html","47","359058","0.0-6.0-8.0","76117","20222717","rare"
"2037.8999999761581","false","fever,rash","90","76,90","B","C","","","test","6","true","","categorize-html","49","362615","0.0-6.0-10.0","76117","20222717","rare"
"1899.3999999761581","false","rash","90","76,90","C","","","","test","7","true","","categorize-html","51","366026","0.0-6.0-12.0","76117","20222717","rare"
"1964.7999999523163","false","fever,headache","76","76,90","B","A","","","test","8","true","","categorize-html","53","369512","0.0-6.0-14.0","76117","20222717","common"
"1663.6000000238419","false","rash","90","76,90","C","","","","test","9","true","","categorize-html","55","372683","0.0-6.0-16.0","76117","20222717","rare"
"1652","false","headache,fever","76","76,90","A","B","","","test","10","true","","categorize-html","57","375859","0.0-6.0-18.0","76117","20222717","common"
"1589","false","headache","76","76,90","A","","","","test","11","true","","categorize-html","59","378959","0.0-6.0-20.0","76117","20222717","common"
"2492.899999976158","false","rash,headache","90","76,90","C","A","","","test","12","true","","categorize-html","61","382974","0.0-6.0-22.0","76117","20222717","rare"
"1320.8999999761581","false","headache,rash","90","76,90","A","C","","","test","13","true","","categorize-html","63","385803","0.0-6.0-24.0","76117","20222717","rare"
"1774.8999999761581","false","headache","76","76,90","A","","","","test","14","true","","categorize-html","65","389092","0.0-6.0-26.0","76117","20222717","common"
"1287.6000000238419","false","rash,headache","90","76,90","C","A","","","test","15","true","","categorize-html","67","391899","0.0-6.0-28.0","76117","20222717","rare"
"1684.3999999761581","false","headache,fever","76","76,90","A","B","","","test","16","true","","categorize-html","69","395096","0.0-6.0-30.0","76117","20222717","common"
"1581.1999999284744","false","rash","90","76,90","C","","","","test","17","true","","categorize-html","71","398194","0.0-6.0-32.0","76117","20222717","rare"
