rt,correct,stimulus,key_press,keys,symptom1,symptom2,key,category,phase,trial,include,block,trial_type,trial_index,time_elapsed,internal_node_id,ppt,session,abresp
null,false,"fever,rash",null,"76,90",A,B,76,common,training,1,true,1,categorize-html,4,463765,0.0-4.0-0.0,as312d,20220208,none
2233.59999999404,false,"rash,fever",32,"76,90",B,A,76,common,training,2,true,1,categorize-html,6,467004,0.0-4.0-2.0,as312d,20220208,none
2963.29999998212,false,"rash,fever",32,"76,90",B,A,76,common,training,3,true,1,categorize-html,8,470971,0.0-4.0-4.0,as312d,20220208,none
2635.69999998808,false,"fever,rash",32,"76,90",A,B,76,common,training,4,true,1,categorize-html,10,474610,0.0-4.0-6.0,as312d,20220208,none
2564.20000001788,false,"fever,rash",32,"76,90",A,B,76,common,training,5,true,1,categorize-html,12,478178,0.0-4.0-8.0,as312d,20220208,none
3350,false,"fever,headache",32,"76,90",A,C,90,rare,training,6,true,1,categorize-html,14,482530,0.0-4.0-10.0,as312d,20220208,none
3605.59999999404,false,"rash,fever",32,"76,90",B,A,76,common,training,7,true,1,categorize-html,16,487138,0.0-4.0-12.0,as312d,20220208,none
2797.20000001788,false,"headache,fever",32,"76,90",C,A,90,rare,training,8,true,1,categorize-html,18,490939,0.0-4.0-14.0,as312d,20220208,none
3263,false,"fever,rash",32,"76,90",A,B,76,common,training,9,true,2,categorize-html,21,501858,0.0-4.0-17.0,as312d,20220208,none
3366.19999998808,false,"headache,fever",32,"76,90",C,A,90,rare,training,10,true,2,categorize-html,23,506227,0.0-4.0-19.0,as312d,20220208,none
3204.70000001788,false,"fever,rash",32,"76,90",A,B,76,common,training,11,true,2,categorize-html,25,510434,0.0-4.0-21.0,as312d,20220208,none
2949.19999998808,false,"rash,fever",32,"76,90",B,A,76,common,training,12,true,2,categorize-html,27,514387,0.0-4.0-23.0,as312d,20220208,none
2852.29999998212,false,"rash,fever",32,"76,90",B,A,76,common,training,13,true,2,categorize-html,29,518243,0.0-4.0-25.0,as312d,20220208,none
3268.40000000596,false,"fever,headache",32,"76,90",A,C,90,rare,training,14,true,2,categorize-html,31,522515,0.0-4.0-27.0,as312d,20220208,none
4165.40000000596,false,"fever,rash",32,"76,90",A,B,76,common,training,15,true,2,categorize-html,33,527683,0.0-4.0-29.0,as312d,20220208,none
4604.29999998212,false,"rash,fever",32,"76,90",B,A,76,common,training,16,true,2,categorize-html,35,533291,0.0-4.0-31.0,as312d,20220208,none
1879.5,false,"headache,rash",90,"76,90",C,B,,,test,1,true,,categorize-html,39,565719,0.0-6.0-0.0,as312d,20220208,rare
3223.69999998808,false,fever,76,"76,90",A,,,,test,2,true,,categorize-html,41,570446,0.0-6.0-2.0,as312d,20220208,common
2424.09999999404,false,fever,76,"76,90",A,,,,test,3,true,,categorize-html,43,574374,0.0-6.0-4.0,as312d,20220208,common
1336.59999999404,false,rash,76,"76,90",B,,,,test,4,true,,categorize-html,45,577215,0.0-6.0-6.0,as312d,20220208,common
1240.59999999404,false,"fever,rash",76,"76,90",A,B,,,test,5,true,,categorize-html,47,579958,0.0-6.0-8.0,as312d,20220208,common
1120.20000001788,false,rash,76,"76,90",B,,,,test,6,true,,categorize-html,49,582583,0.0-6.0-10.0,as312d,20220208,common
1000,false,"fever,headache",90,"76,90",A,C,,,test,7,true,,categorize-html,51,585087,0.0-6.0-12.0,as312d,20220208,rare
