"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","fever,rash","null","90,76","A","C","76","rare","training","1","true","1","categorize-html","4","129889","0.0-4.0-0.0","k345nca","202202622","none"
"3427.599999964237","false","headache,fever","32","90,76","B","A","90","common","training","2","true","1","categorize-html","6","134320","0.0-4.0-2.0","k345nca","202202622","none"
"2235.2999999523163","false","headache,fever","32","90,76","B","A","90","common","training","3","true","1","categorize-html","8","137566","0.0-4.0-4.0","k345nca","202202622","none"
"3797.199999988079","false","fever,headache","32","90,76","A","B","90","common","training","4","true","1","categorize-html","10","142368","0.0-4.0-6.0","k345nca","202202622","none"
"2466.100000023842","false","headache,fever","32","90,76","B","A","90","common","training","5","true","1","categorize-html","12","145839","0.0-4.0-8.0","k345nca","202202622","none"
"3097","false","rash,fever","32","90,76","C","A","76","rare","training","6","true","1","categorize-html","14","149939","0.0-4.0-10.0","k345nca","202202622","none"
"1647","false","fever,headache","32","90,76","A","B","90","common","training","7","true","1","categorize-html","16","152591","0.0-4.0-12.0","k345nca","202202622","none"
"1226.800000011921","false","fever,headache","32","90,76","A","B","90","common","training","8","true","1","categorize-html","18","154825","0.0-4.0-14.0","k345nca","202202622","none"
"null","false","headache,fever","null","90,76","B","A","90","common","training","9","true","2","categorize-html","21","168221","0.0-4.0-17.0","k345nca","202202622","none"
"2248.199999988079","false","fever,headache","32","90,76","A","B","90","common","training","10","true","2","categorize-html","23","171477","0.0-4.0-19.0","k345nca","202202622","none"
"1896.699999988079","false","fever,headache","32","90,76","A","B","90","common","training","11","true","2","categorize-html","25","174382","0.0-4.0-21.0","k345nca","202202622","none"
"1697.199999988079","false","rash,fever","32","90,76","C","A","76","rare","training","12","true","2","categorize-html","27","177087","0.0-4.0-23.0","k345nca","202202622","none"
"1222.9000000357628","false","headache,fever","32","90,76","B","A","90","common","training","13","true","2","categorize-html","29","179316","0.0-4.0-25.0","k345nca","202202622","none"
"3862","false","fever,rash","32","90,76","A","C","76","rare","training","14","true","2","categorize-html","31","184184","0.0-4.0-27.0","k345nca","202202622","none"
"1126.6000000238419","false","headache,fever","32","90,76","B","A","90","common","training","15","true","2","categorize-html","33","186318","0.0-4.0-29.0","k345nca","202202622","none"
"2215.399999976158","false","fever,headache","32","90,76","A","B","90","common","training","16","true","2","categorize-html","35","189543","0.0-4.0-31.0","k345nca","202202622","none"
"4322.100000023842","false","headache","90","90,76","B","","","","test","1","true","","categorize-html","39","234306","0.0-6.0-0.0","k345nca","202202622","common"
"3846.100000023842","false","headache,fever","90","90,76","B","A","","","test","2","true","","categorize-html","41","239658","0.0-6.0-2.0","k345nca","202202622","common"
"3426.300000011921","false","headache","76","90,76","B","","","","test","3","true","","categorize-html","43","244596","0.0-6.0-4.0","k345nca","202202622","rare"
"1791.6000000238419","false","headache,rash","76","90,76","B","C","","","test","4","true","","categorize-html","45","247898","0.0-6.0-6.0","k345nca","202202622","rare"
"3355.399999976158","false","rash,fever","76","90,76","C","A","","","test","5","true","","categorize-html","47","252759","0.0-6.0-8.0","k345nca","202202622","rare"
"3708.800000011921","false","fever,headache","90","90,76","A","B","","","test","6","true","","categorize-html","49","257978","0.0-6.0-10.0","k345nca","202202622","common"
"2602.5","false","fever","76","90,76","A","","","","test","7","true","","categorize-html","51","262091","0.0-6.0-12.0","k345nca","202202622","rare"
"1457.300000011921","false","rash","76","90,76","C","","","","test","8","true","","categorize-html","53","265054","0.0-6.0-14.0","k345nca","202202622","rare"
"2803","false","rash,headache","76","90,76","C","B","","","test","9","true","","categorize-html","55","269366","0.0-6.0-16.0","k345nca","202202622","rare"
"966.8000000119209","false","rash","76","90,76","C","","","","test","10","true","","categorize-html","57","271845","0.0-6.0-18.0","k345nca","202202622","rare"
"2605.400000035763","false","fever","90","90,76","A","","","","test","11","true","","categorize-html","59","275954","0.0-6.0-20.0","k345nca","202202622","common"
"2215","false","fever,rash","76","90,76","A","C","","","test","12","true","","categorize-html","61","279680","0.0-6.0-22.0","k345nca","202202622","rare"
"1948.699999988079","false","rash,headache","76","90,76","C","B","","","test","13","true","","categorize-html","63","283140","0.0-6.0-24.0","k345nca","202202622","rare"
"1565.199999988079","false","headache","90","90,76","B","","","","test","14","true","","categorize-html","65","286216","0.0-6.0-26.0","k345nca","202202622","common"
"1323.699999988079","false","fever,headache","90","90,76","A","B","","","test","15","true","","categorize-html","67","289050","0.0-6.0-28.0","k345nca","202202622","common"
"2756.199999988079","false","rash","76","90,76","C","","","","test","16","true","","categorize-html","69","293315","0.0-6.0-30.0","k345nca","202202622","rare"
"1630.300000011921","false","headache,rash","76","90,76","B","C","","","test","17","true","","categorize-html","71","296457","0.0-6.0-32.0","k345nca","202202622","rare"
"1066.800000011921","false","headache,fever","90","90,76","B","A","","","test","18","true","","categorize-html","73","299030","0.0-6.0-34.0","k345nca","202202622","common"
"3073.199999988079","false","fever","90","90,76","A","","","","test","19","true","","categorize-html","75","303611","0.0-6.0-36.0","k345nca","202202622","common"
"1325","false","fever,rash","76","90,76","A","C","","","test","20","true","","categorize-html","77","306448","0.0-6.0-38.0","k345nca","202202622","rare"
"832.4000000357628","false","fever","76","90,76","A","","","","test","21","true","","categorize-html","79","308790","0.0-6.0-40.0","k345nca","202202622","rare"
"991.4000000357628","false","rash","76","90,76","C","","","","test","22","true","","categorize-html","81","311293","0.0-6.0-42.0","k345nca","202202622","rare"
