"rt","correct","stimulus","key_press","keys","symptom1","symptom2","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"4914.399999856949","false","fever,rash","32","76,90","A","C","90","rare","training","1","true","1","categorize-html","4","679569","0.0-4.0-0.0","72997","20222217","none"
"4085.300000190735","false","rash,fever","32","76,90","C","A","90","rare","training","2","true","1","categorize-html","6","684677","0.0-4.0-2.0","72997","20222217","none"
"4161.899999856949","false","fever,headache","32","76,90","A","B","76","common","training","3","true","1","categorize-html","8","689850","0.0-4.0-4.0","72997","20222217","none"
"2199.2999999523163","false","fever,headache","32","76,90","A","B","76","common","training","4","true","1","categorize-html","10","693076","0.0-4.0-6.0","72997","20222217","none"
"3255.100000143051","false","headache,fever","32","76,90","B","A","76","common","training","5","true","1","categorize-html","12","697354","0.0-4.0-8.0","72997","20222217","none"
"1592.4000000953674","false","headache,fever","32","76,90","B","A","76","common","training","6","true","1","categorize-html","14","699966","0.0-4.0-10.0","72997","20222217","none"
"1398.9000000953674","false","fever,headache","32","76,90","A","B","76","common","training","7","true","1","categorize-html","16","702386","0.0-4.0-12.0","72997","20222217","none"
"1868.0999999046326","false","headache,fever","32","76,90","B","A","76","common","training","8","true","1","categorize-html","18","705287","0.0-4.0-14.0","72997","20222217","none"
"1805.8000001907349","false","fever,headache","32","76,90","A","B","76","common","training","9","true","2","categorize-html","21","711204","0.0-4.0-17.0","72997","20222217","none"
"null","false","fever,rash","null","76,90","A","C","90","rare","training","10","true","2","categorize-html","23","717220","0.0-4.0-19.0","72997","20222217","none"
"3689.5","false","headache,fever","32","76,90","B","A","76","common","training","11","true","2","categorize-html","25","721916","0.0-4.0-21.0","72997","20222217","none"
"2106.2999999523163","false","headache,fever","32","76,90","B","A","76","common","training","12","true","2","categorize-html","27","725034","0.0-4.0-23.0","72997","20222217","none"
"1603","false","headache,fever","32","76,90","B","A","76","common","training","13","true","2","categorize-html","29","727662","0.0-4.0-25.0","72997","20222217","none"
"4613.900000095367","false","fever,headache","32","76,90","A","B","76","common","training","14","true","2","categorize-html","31","733285","0.0-4.0-27.0","72997","20222217","none"
"1825.5","false","fever,headache","32","76,90","A","B","76","common","training","15","true","2","categorize-html","33","736143","0.0-4.0-29.0","72997","20222217","none"
"2969.600000143051","false","rash,fever","32","76,90","C","A","90","rare","training","16","true","2","categorize-html","35","740130","0.0-4.0-31.0","72997","20222217","none"
"2634.2999999523163","false","fever,headache","32","76,90","A","B","76","common","training","17","true","3","categorize-html","38","752668","0.0-4.0-34.0","72997","20222217","none"
"2205","false","rash,fever","32","76,90","C","A","90","rare","training","18","true","3","categorize-html","40","755900","0.0-4.0-36.0","72997","20222217","none"
"3509.2000000476837","false","headache,fever","32","76,90","B","A","76","common","training","19","true","3","categorize-html","42","760434","0.0-4.0-38.0","72997","20222217","none"
"1365.7999999523163","false","headache,fever","32","76,90","B","A","76","common","training","20","true","3","categorize-html","44","762813","0.0-4.0-40.0","72997","20222217","none"
"1296.7999999523163","false","headache,fever","32","76,90","B","A","76","common","training","21","true","3","categorize-html","46","765127","0.0-4.0-42.0","72997","20222217","none"
"1283.2999999523163","false","fever,headache","32","76,90","A","B","76","common","training","22","true","3","categorize-html","48","767428","0.0-4.0-44.0","72997","20222217","none"
"1695.5","false","fever,rash","32","76,90","A","C","90","rare","training","23","true","3","categorize-html","50","770132","0.0-4.0-46.0","72997","20222217","none"
"1544.7999999523163","false","fever,headache","32","76,90","A","B","76","common","training","24","true","3","categorize-html","52","772688","0.0-4.0-48.0","72997","20222217","none"
"5166.400000095367","false","fever","76","76,90","A","","","","test","1","true","","categorize-html","56","802097","0.0-6.0-0.0","72997","20222217","common"
"2043.5","false","rash","90","76,90","C","","","","test","2","true","","categorize-html","58","805663","0.0-6.0-2.0","72997","20222217","rare"
"1420.8999998569489","false","fever,rash","90","76,90","A","C","","","test","3","true","","categorize-html","60","808607","0.0-6.0-4.0","72997","20222217","rare"
"4737.299999952316","false","fever","76","76,90","A","","","","test","4","true","","categorize-html","62","814867","0.0-6.0-6.0","72997","20222217","common"
"3726.2999999523163","false","headache,fever","90","76,90","B","A","","","test","5","true","","categorize-html","64","820112","0.0-6.0-8.0","72997","20222217","rare"
"1811.8000001907349","false","rash,fever","90","76,90","C","A","","","test","6","true","","categorize-html","66","823437","0.0-6.0-10.0","72997","20222217","rare"
"1950.5","false","rash","90","76,90","C","","","","test","7","true","","categorize-html","68","826899","0.0-6.0-12.0","72997","20222217","rare"
"766.5","false","fever,headache","76","76,90","A","B","","","test","8","true","","categorize-html","70","829191","0.0-6.0-14.0","72997","20222217","common"
"759.7000000476837","false","rash,headache","76","76,90","C","B","","","test","9","true","","categorize-html","72","831469","0.0-6.0-16.0","72997","20222217","common"
"1145.5","false","headache","90","76,90","B","","","","test","10","true","","categorize-html","74","834129","0.0-6.0-18.0","72997","20222217","rare"
"1054.7999999523163","false","headache","90","76,90","B","","","","test","11","true","","categorize-html","76","836703","0.0-6.0-20.0","72997","20222217","rare"
"1111.7999999523163","false","headache,rash","90","76,90","B","C","","","test","12","true","","categorize-html","78","839330","0.0-6.0-22.0","72997","20222217","rare"
